Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
13/01/2020 06:00;PT;240;{'nuclear': None, 'geothermal': None, 'biomass': 287, 'coal': None, 'wind': 725, 'solar': None, 'hydro': 1693, 'gas': 2192, 'oil': None, 'unknown': 28, 'hydro discharge': 514, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 365, 'coal': None, 'wind': 921, 'solar': None, 'hydro': 2150, 'gas': 2784, 'oil': None, 'unknown': 36, 'hydro discharge': 653, 'battery discharge': None};{'ES': 0};{'ES': 1470};59;59;5439;6909;0;1470
13/01/2020 12:00;PT;249;{'nuclear': 169, 'geothermal': None, 'biomass': 388, 'coal': 29, 'wind': 1426, 'solar': 482, 'hydro': 1891, 'gas': 3627, 'oil': 4, 'unknown': 40, 'hydro discharge': 1, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 375, 'coal': None, 'wind': 1321, 'solar': 402, 'hydro': 1774, 'gas': 3452, 'oil': None, 'unknown': 37, 'hydro discharge': -6, 'battery discharge': None};{'ES': 703};{'ES': 0};54;52;8058;7361;703;0
13/01/2020 18:00;PT;214;{'nuclear': None, 'geothermal': None, 'biomass': 345, 'coal': None, 'wind': 1927, 'solar': None, 'hydro': 2886, 'gas': 3336, 'oil': None, 'unknown': 34, 'hydro discharge': 125, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 368, 'coal': None, 'wind': 2055, 'solar': None, 'hydro': 3078, 'gas': 3558, 'oil': None, 'unknown': 36, 'hydro discharge': 133, 'battery discharge': None};{'ES': 0};{'ES': 577};61;61;8651;9228;0;577
14/01/2020 00:00;PT;149;{'nuclear': 316, 'geothermal': None, 'biomass': 367, 'coal': 32, 'wind': 2274, 'solar': 1, 'hydro': 1567, 'gas': 1400, 'oil': 5, 'unknown': 37, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 373, 'coal': None, 'wind': 2121, 'solar': None, 'hydro': 1574, 'gas': 1374, 'oil': None, 'unknown': 35, 'hydro discharge': -544, 'battery discharge': None};{'ES': 1066};{'ES': 0};75;70;5999;5477;1066;0
14/01/2020 06:00;PT;177;{'nuclear': None, 'geothermal': None, 'biomass': 261, 'coal': None, 'wind': 1755, 'solar': None, 'hydro': 1657, 'gas': 1640, 'oil': None, 'unknown': 23, 'hydro discharge': 399, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 371, 'coal': None, 'wind': 2492, 'solar': None, 'hydro': 2352, 'gas': 2329, 'oil': None, 'unknown': 32, 'hydro discharge': 566, 'battery discharge': None};{'ES': 0};{'ES': 2407};71;71;5735;8142;0;2407
14/01/2020 12:00;PT;188;{'nuclear': None, 'geothermal': None, 'biomass': 288, 'coal': None, 'wind': 2174, 'solar': 85, 'hydro': 2210, 'gas': 2441, 'oil': None, 'unknown': 21, 'hydro discharge': 763, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 366, 'coal': None, 'wind': 2767, 'solar': 108, 'hydro': 2813, 'gas': 3108, 'oil': None, 'unknown': 27, 'hydro discharge': 971, 'battery discharge': None};{'ES': 0};{'ES': 2179};69;69;7981;10160;0;2179
14/01/2020 18:00;PT;183;{'nuclear': None, 'geothermal': None, 'biomass': 261, 'coal': None, 'wind': 2391, 'solar': None, 'hydro': 2432, 'gas': 2515, 'oil': None, 'unknown': 11, 'hydro discharge': 790, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 354, 'coal': None, 'wind': 3238, 'solar': None, 'hydro': 3293, 'gas': 3406, 'oil': None, 'unknown': 15, 'hydro discharge': 1070, 'battery discharge': None};{'ES': 0};{'ES': 2975};70;70;8401;11376;0;2975
15/01/2020 00:00;PT;87;{'nuclear': 243, 'geothermal': 0, 'biomass': 322, 'coal': 24, 'wind': 3774, 'solar': 1, 'hydro': 959, 'gas': 694, 'oil': 4, 'unknown': 33, 'hydro discharge': 0, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 370, 'coal': None, 'wind': 4295, 'solar': None, 'hydro': 1060, 'gas': 710, 'oil': None, 'unknown': 36, 'hydro discharge': -1371, 'battery discharge': None};{'ES': 953};{'ES': 0};88;84;6053;6471;953;0
15/01/2020 06:00;PT;122;{'nuclear': None, 'geothermal': None, 'biomass': 278, 'coal': None, 'wind': 2843, 'solar': None, 'hydro': 1359, 'gas': 1104, 'oil': None, 'unknown': 26, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 370, 'coal': None, 'wind': 3777, 'solar': None, 'hydro': 1806, 'gas': 1467, 'oil': None, 'unknown': 34, 'hydro discharge': -223, 'battery discharge': None};{'ES': 0};{'ES': 1621};80;80;5610;7454;0;1621
15/01/2020 12:00;PT;211;{'nuclear': None, 'geothermal': None, 'biomass': 348, 'coal': None, 'wind': 1732, 'solar': 169, 'hydro': 2407, 'gas': 2888, 'oil': None, 'unknown': 33, 'hydro discharge': 134, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 379, 'coal': None, 'wind': 1888, 'solar': 184, 'hydro': 2624, 'gas': 3148, 'oil': None, 'unknown': 36, 'hydro discharge': 146, 'battery discharge': None};{'ES': 0};{'ES': 694};62;62;7711;8405;0;694
