;date;totale production;total consumption;diff conso / prod (%);carbon production (kg);new carbon production (kg)
;26/02/2020 06:00;315722;311527;1.3287005656875353;73572302;53815712
;26/02/2020 12:00;337930;327247;3.1613055958334564;75982801;55208759
;26/02/2020 18:00;335897;334173;0.5132525744499058;85107959;61260993
;27/02/2020 00:00;273250;258283;5.47740164684355;66960135;44587440
;27/02/2020 06:00;321017;316645;1.3619216427790428;83079985;59659957
;27/02/2020 12:00;332871;332735;0.040856668198791725;83270699;61460073
;27/02/2020 18:00;335699;335400;0.08906788521860357;91543819;66567876
;28/02/2020 00:00;279313;263563;5.6388352851460555;66162606;45863907
;28/02/2020 06:00;323294;328706;-1.6740180764257921;86611683;62493534
;28/02/2020 12:00;331542;336052;-1.360310307593005;84332488;61238619
;28/02/2020 18:00;336536;339613;-0.9143152589916086;87040927;62175224
;29/02/2020 00:00;303206;308074;-1.605509125808856;75373761;55110867
;29/02/2020 06:00;300607;306242;-1.8745405130286386;74114432;54130666
;29/02/2020 12:00;314103;319721;-1.7885852729837028;77766783;56282993
;29/02/2020 18:00;315293;320761;-1.734259878906287;79139933;57235427
;01/03/2020 00:00;299018;304049;-1.6825074075808146;74613874;54364636
;01/03/2020 06:00;291568;298765;-2.4683778741151294;73490354;53534178
;01/03/2020 12:00;307833;313487;-1.8367101642773842;76467230;55475300
;01/03/2020 18:00;315049;318811;-1.1940999654022073;79003620;58422457
;02/03/2020 00:00;299251;302110;-0.9553852785788519;75941992;55945997
;02/03/2020 06:00;317351;317237;0.03592236986806407;81669776;60032549
;02/03/2020 12:00;320832;321689;-0.26711799321763413;82222427;59893811
;02/03/2020 18:00;324643;320766;1.1942348980264477;82657421;60628192
;03/03/2020 00:00;267098;251597;5.803487858389056;62572237;41906623
;03/03/2020 06:00;319659;314847;1.5053541430086435;86351559;60367472
;03/03/2020 12:00;338052;329366;2.5694271887165288;85785452;59961208
;03/03/2020 18:00;330029;330727;-0.21149656545333897;91846048;64760379
