Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
2020-01-03 21:00:00;IT-SAR;498;{'nuclear': None, 'geothermal': None, 'biomass': 40, 'coal': 354, 'wind': 163, 'solar': None, 'hydro': 55, 'gas': 479, 'oil': 15, 'unknown': 19, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 421, 'wind': 194, 'solar': None, 'hydro': 65, 'gas': 570, 'oil': 18, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 213};23;23;1126;1339;0;213
2020-01-04 00:00:00;IT-SAR;466;{'nuclear': None, 'geothermal': None, 'biomass': 27, 'coal': 240, 'wind': 170, 'solar': None, 'hydro': 35, 'gas': 323, 'oil': 11, 'unknown': 20, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 424, 'wind': 300, 'solar': None, 'hydro': 62, 'gas': 569, 'oil': 19, 'unknown': 35, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 631};28;28;826;1457;0;631
2020-01-04 03:00:00;IT-SAR;442;{'nuclear': None, 'geothermal': None, 'biomass': 23, 'coal': 199, 'wind': 178, 'solar': None, 'hydro': 29, 'gas': 268, 'oil': 9, 'unknown': 17, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 421, 'wind': 377, 'solar': None, 'hydro': 62, 'gas': 567, 'oil': 19, 'unknown': 35, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 806};32;32;723;1529;0;806
2020-01-04 06:00:00;IT-SAR;424;{'nuclear': None, 'geothermal': None, 'biomass': 29, 'coal': 254, 'wind': 268, 'solar': None, 'hydro': 37, 'gas': 343, 'oil': 11, 'unknown': 22, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 423, 'wind': 447, 'solar': None, 'hydro': 62, 'gas': 572, 'oil': 18, 'unknown': 37, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 643};35;35;965;1608;0;643
2020-01-04 09:00:00;IT-SAR;404;{'nuclear': None, 'geothermal': None, 'biomass': 32, 'coal': 277, 'wind': 284, 'solar': 71, 'hydro': 41, 'gas': 374, 'oil': 12, 'unknown': 25, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 421, 'wind': 431, 'solar': 108, 'hydro': 62, 'gas': 569, 'oil': 18, 'unknown': 38, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 580};38;38;1115;1695;0;580
2020-01-04 12:00:00;IT-SAR;383;{'nuclear': None, 'geothermal': None, 'biomass': 30, 'coal': 263, 'wind': 311, 'solar': 85, 'hydro': 39, 'gas': 354, 'oil': 11, 'unknown': 24, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 423, 'wind': 501, 'solar': 137, 'hydro': 62, 'gas': 569, 'oil': 18, 'unknown': 38, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 680};42;42;1116;1796;0;680
2020-01-04 15:00:00;IT-SAR;486;{'nuclear': None, 'geothermal': None, 'biomass': 33, 'coal': 317, 'wind': 183, 'solar': 1, 'hydro': 42, 'gas': 383, 'oil': 12, 'unknown': 25, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 473, 'wind': 273, 'solar': 1, 'hydro': 62, 'gas': 572, 'oil': 18, 'unknown': 38, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 490};26;26;996;1486;0;490
2020-01-04 18:00:00;IT-SAR;511;{'nuclear': None, 'geothermal': None, 'biomass': 38, 'coal': 379, 'wind': 151, 'solar': None, 'hydro': 48, 'gas': 447, 'oil': 14, 'unknown': 30, 'hydro discharge': 154, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 488, 'wind': 194, 'solar': None, 'hydro': 62, 'gas': 575, 'oil': 18, 'unknown': 38, 'hydro discharge': 198, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 362};31;31;1260;1622;0;362
2020-01-04 21:00:00;IT-SAR;530;{'nuclear': None, 'geothermal': None, 'biomass': 41, 'coal': 354, 'wind': 99, 'solar': None, 'hydro': 52, 'gas': 485, 'oil': 15, 'unknown': 32, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 421, 'wind': 118, 'solar': None, 'hydro': 62, 'gas': 577, 'oil': 18, 'unknown': 38, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 204};18;18;1079;1283;0;204
2020-01-05 00:00:00;IT-SAR;493;{'nuclear': None, 'geothermal': None, 'biomass': 27, 'coal': 228, 'wind': 113, 'solar': None, 'hydro': 35, 'gas': 313, 'oil': 10, 'unknown': 12, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 421, 'wind': 208, 'solar': None, 'hydro': 65, 'gas': 578, 'oil': 19, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 624};24;24;739;1363;0;624
